Дата операции,Категория,Сумма операции
2019-05-03,Супермаркеты,-121.1
2019-04-29,Супермаркеты,-49.9
2019-04-27,Супермаркеты,-280.0
2019-04-26,Супермаркеты,-67.8
2019-04-26,Супермаркеты,-120.0
2019-04-26,Супермаркеты,-291.14
2019-04-26,Супермаркеты,-240.5
2019-04-26,Супермаркеты,-78.0
2019-04-25,Супермаркеты,-177.6
2019-04-23,Супермаркеты,-293.35
2019-04-22,Супермаркеты,-503.53
2019-04-22,Супермаркеты,-78.0
2019-04-22,Супермаркеты,-89.8
2019-04-21,Супермаркеты,-49.9
2019-04-21,Супермаркеты,-34.0
2019-04-19,Супермаркеты,-136.7
2019-04-18,Супермаркеты,-106.8
2019-04-18,Супермаркеты,-127.0
2019-04-16,Супермаркеты,-87.37
2019-04-16,Супермаркеты,-229.0
2019-04-15,Супермаркеты,-315.78
2019-04-15,Супермаркеты,-68.0
2019-04-14,Супермаркеты,-84.9
2019-04-13,Супермаркеты,-59.9
2019-04-12,Супермаркеты,-80.2
2019-04-12,Супермаркеты,-149.9
2019-04-12,Супермаркеты,-68.0
2019-04-11,Супермаркеты,-78.0
2019-04-10,Супермаркеты,-51.9
2019-04-10,Супермаркеты,-118.65
2019-04-09,Супермаркеты,-51.9
2019-04-09,Супермаркеты,-68.0
2019-04-08,Супермаркеты,-189.6
2019-04-08,Супермаркеты,-32.79
2019-04-08,Супермаркеты,-78.0
2019-04-08,Супермаркеты,-137.97
2019-04-08,Супермаркеты,-51.9
2019-04-06,Супермаркеты,-207.8
2019-04-06,Супермаркеты,-249.7
2019-04-06,Супермаркеты,-68.0
2019-04-06,Супермаркеты,-118.0
2019-04-06,Супермаркеты,-49.9
2019-04-05,Супермаркеты,-595.52
2019-04-05,Супермаркеты,-34.0
2019-04-05,Супермаркеты,-113.7
2019-04-03,Супермаркеты,-78.0
2019-04-03,Супермаркеты,-34.0
2019-04-01,Супермаркеты,-25.8
2019-04-01,Супермаркеты,-189.4
2019-04-01,Супермаркеты,-179.51
2019-04-01,Супермаркеты,-141.08
2019-04-01,Супермаркеты,-195.44
2019-04-01,Супермаркеты,-59.9
2019-03-31,Супермаркеты,-68.0
2019-03-31,Супермаркеты,-99.9
2019-03-30,Супермаркеты,-71.93
2019-03-30,Супермаркеты,-269.8
2019-03-29,Супермаркеты,-59.9
2019-03-29,Супермаркеты,-59.8
2019-03-29,Супермаркеты,-34.0
2019-03-29,Супермаркеты,-78.0
2019-03-28,Супермаркеты,-210.09
2019-03-26,Супермаркеты,-172.91
2019-03-26,Супермаркеты,-78.0
2019-03-25,Супермаркеты,-53.9
2019-03-23,Супермаркеты,-72.46
2019-03-23,Супермаркеты,-78.0
2019-03-23,Супермаркеты,-265.76
2019-03-22,Супермаркеты,-125.52
2019-03-22,Супермаркеты,-139.9
2019-03-21,Супермаркеты,-87.0
2019-03-21,Супермаркеты,-208.4
2019-03-20,Супермаркеты,-149.9
2019-03-20,Супермаркеты,-78.0
2019-03-19,Супермаркеты,-376.59
